sku,name,category,price,currency,stock_qty,attributes
SOF-001,Aria 3-Seater Fabric Sofa,sofas,45999,INR,8,"{""material"":""fabric"",""seats"":3,""color"":""slate grey""}"
SOF-002,Ember Chesterfield Leather Sofa,sofas,89999,INR,3,"{""material"":""leather"",""seats"":3,""color"":""tan""}"
SOF-003,Nook 2-Seater Loveseat,sofas,28999,INR,0,"{""material"":""fabric"",""seats"":2,""color"":""sage""}"
BED-001,Rosewood King Bed,beds,74999,INR,0,"{""size"":""king"",""material"":""rosewood""}"
BED-002,Oakhaven Queen Bed with Storage,beds,58999,INR,5,"{""size"":""queen"",""material"":""oak"",""storage"":true}"
DSK-001,Linea Executive Desk,desks,32999,INR,12,"{""width_cm"":160,""material"":""walnut veneer""}"
DSK-002,Flow Height-Adjustable Standing Desk,desks,41999,INR,20,"{""width_cm"":140,""motorized"":true}"
DSK-003,Compact Study Desk,desks,12999,INR,25,"{""width_cm"":100,""material"":""engineered wood""}"
CHR-001,ErgoPro High-Back Mesh Chair,office-chairs,18999,INR,40,"{""lumbar_support"":true,""headrest"":true}"
CHR-002,Atlas Ergonomic Task Chair,office-chairs,11999,INR,60,"{""lumbar_support"":true,""headrest"":false}"
CHR-003,Verve Visitor Chair,office-chairs,6999,INR,30,"{""stackable"":true}"
DIN-001,Sheesham 6-Seater Dining Set,dining,64999,INR,4,"{""seats"":6,""material"":""sheesham""}"
DIN-002,Nordic 4-Seater Dining Table,dining,36999,INR,7,"{""seats"":4,""material"":""oak""}"
STO-001,Hana Wardrobe 3-Door,storage,44999,INR,6,"{""doors"":3,""mirror"":true}"
STO-002,Modular TV Unit,storage,21999,INR,10,"{""width_cm"":180}"
STO-003,Shoe Cabinet,storage,8999,INR,15,"{""pairs"":18}"
BSH-001,Ladder Bookshelf,bookshelves,9999,INR,18,"{""shelves"":5}"
BSH-002,Wall-Mounted Shelf Set,bookshelves,4499,INR,22,"{""pieces"":3}"
TBL-001,Walnut Coffee Table,tables,14999,INR,9,"{""material"":""walnut""}"
TBL-002,Side Table Duo,tables,7499,INR,14,"{""pieces"":2}"
